weight,timestamp
-5.12,2026-05-13 15:27:16.197033
5.12,2026-05-13 15:27:16.208033
13.51,2026-05-13 15:27:16.219033
24.52,2026-05-13 15:27:16.230033
8.17,2026-05-13 15:27:16.240033
4.36,2026-05-13 15:27:16.251033
-2.83,2026-05-13 15:27:16.262033
16.23,2026-05-13 15:27:16.273033
13.62,2026-05-13 15:27:16.283033
-4.58,2026-05-13 15:27:16.294033
-2.51,2026-05-13 15:27:16.305033
-4.25,2026-05-13 15:27:16.316033
2.72,2026-05-13 15:27:16.326033
9.26,2026-05-13 15:27:16.337033
9.7,2026-05-13 15:27:16.348033
-6.54,2026-05-13 15:27:16.359033
-16.34,2026-05-13 15:27:16.369033
-8.5,2026-05-13 15:27:16.380033
5.01,2026-05-13 15:27:16.391033
13.18,2026-05-13 15:27:16.402033
-3.27,2026-05-13 15:27:16.418244
-5.67,2026-05-13 15:27:16.429244
20.59,2026-05-13 15:27:16.440244
8.61,2026-05-13 15:27:16.451244
-13.62,2026-05-13 15:27:16.461244
0.54,2026-05-13 15:27:16.472244
6.43,2026-05-13 15:27:16.483244
0.11,2026-05-13 15:27:16.494244
-7.3,2026-05-13 15:27:16.504244
-6.65,2026-05-13 15:27:16.515244
-10.57,2026-05-13 15:27:16.526244
-8.17,2026-05-13 15:27:16.537244
1.42,2026-05-13 15:27:16.547244
14.71,2026-05-13 15:27:16.558244
9.26,2026-05-13 15:27:16.569244
12.75,2026-05-13 15:27:16.580244
7.3,2026-05-13 15:27:16.590244
-10.24,2026-05-13 15:27:16.601244
1.85,2026-05-13 15:27:16.612244
5.23,2026-05-13 15:27:16.623244
-1.09,2026-05-13 15:27:16.628236
-1.74,2026-05-13 15:27:16.639236
-3.92,2026-05-13 15:27:16.650236
-2.29,2026-05-13 15:27:16.661236
-7.63,2026-05-13 15:27:16.671236
0.76,2026-05-13 15:27:16.682236
-4.14,2026-05-13 15:27:16.693236
-12.2,2026-05-13 15:27:16.704236
-6.54,2026-05-13 15:27:16.714236
13.07,2026-05-13 15:27:16.725236
22.45,2026-05-13 15:27:16.736236
27.57,2026-05-13 15:27:16.747236
-5.88,2026-05-13 15:27:16.757236
-6.43,2026-05-13 15:27:16.768236
12.31,2026-05-13 15:27:16.779236
2.51,2026-05-13 15:27:16.790236
-19.18,2026-05-13 15:27:16.800236
-11.11,2026-05-13 15:27:16.811236
-8.93,2026-05-13 15:27:16.822236
0.98,2026-05-13 15:27:16.833236
-3.27,2026-05-13 15:27:16.849581
0.11,2026-05-13 15:27:16.860581
7.84,2026-05-13 15:27:16.871581
2.61,2026-05-13 15:27:16.882581
-2.18,2026-05-13 15:27:16.892581
-6.54,2026-05-13 15:27:16.903581
4.68,2026-05-13 15:27:16.914581
3.05,2026-05-13 15:27:16.925581
5.67,2026-05-13 15:27:16.935581
1.96,2026-05-13 15:27:16.946581
13.95,2026-05-13 15:27:16.957581
4.68,2026-05-13 15:27:16.968581
-0.22,2026-05-13 15:27:16.978581
2.51,2026-05-13 15:27:16.989581
14.93,2026-05-13 15:27:17.000581
3.49,2026-05-13 15:27:17.011581
-0.33,2026-05-13 15:27:17.022581
-10.46,2026-05-13 15:27:17.032581
-17.32,2026-05-13 15:27:17.043581
-3.38,2026-05-13 15:27:17.054581
5.45,2026-05-13 15:27:17.060509
-2.83,2026-05-13 15:27:17.070509
-22.34,2026-05-13 15:27:17.081509
-11.22,2026-05-13 15:27:17.092509
-9.81,2026-05-13 15:27:17.103509
0.76,2026-05-13 15:27:17.113509
-10.68,2026-05-13 15:27:17.124509
9.81,2026-05-13 15:27:17.135509
