weight,timestamp
-11.38,2026-05-13 14:24:12.973374
-3.97,2026-05-13 14:24:12.984374
-4.08,2026-05-13 14:24:12.994374
14.77,2026-05-13 14:24:13.005374
9.97,2026-05-13 14:24:13.016374
9.86,2026-05-13 14:24:13.027374
2.56,2026-05-13 14:24:13.037374
13.02,2026-05-13 14:24:13.048374
-4.08,2026-05-13 14:24:13.059374
1.69,2026-05-13 14:24:13.070374
4.09,2026-05-13 14:24:13.080374
-21.73,2026-05-13 14:24:13.091374
-17.81,2026-05-13 14:24:13.102374
-17.81,2026-05-13 14:24:13.113374
-7.03,2026-05-13 14:24:13.123374
5.5,2026-05-13 14:24:13.134374
6.38,2026-05-13 14:24:13.145374
0.49,2026-05-13 14:24:13.156374
2.24,2026-05-13 14:24:13.167374
10.41,2026-05-13 14:24:13.177374
6.81,2026-05-13 14:24:13.183181
-3.76,2026-05-13 14:24:13.194181
-7.68,2026-05-13 14:24:13.205181
-9.2,2026-05-13 14:24:13.215181
-2.12,2026-05-13 14:24:13.226181
2.78,2026-05-13 14:24:13.237181
13.68,2026-05-13 14:24:13.248181
11.28,2026-05-13 14:24:13.258181
-1.69,2026-05-13 14:24:13.269181
8.45,2026-05-13 14:24:13.280181
-8.77,2026-05-13 14:24:13.291181
-3.65,2026-05-13 14:24:13.301181
-9.42,2026-05-13 14:24:13.312181
4.41,2026-05-13 14:24:13.323181
-7.24,2026-05-13 14:24:13.334181
-21.63,2026-05-13 14:24:13.344181
-14.0,2026-05-13 14:24:13.355181
2.78,2026-05-13 14:24:13.366181
2.02,2026-05-13 14:24:13.377181
-0.92,2026-05-13 14:24:13.387181
-9.86,2026-05-13 14:24:13.403786
-8.66,2026-05-13 14:24:13.414786
14.66,2026-05-13 14:24:13.425786
16.73,2026-05-13 14:24:13.436786
6.59,2026-05-13 14:24:13.446786
-5.06,2026-05-13 14:24:13.457786
14.33,2026-05-13 14:24:13.468786
4.85,2026-05-13 14:24:13.479786
11.06,2026-05-13 14:24:13.489786
4.31,2026-05-13 14:24:13.500786
7.25,2026-05-13 14:24:13.511786
-4.74,2026-05-13 14:24:13.522786
-14.76,2026-05-13 14:24:13.532786
-0.05,2026-05-13 14:24:13.543786
2.24,2026-05-13 14:24:13.554786
10.73,2026-05-13 14:24:13.565786
-1.36,2026-05-13 14:24:13.575786
10.08,2026-05-13 14:24:13.586786
-3.65,2026-05-13 14:24:13.597786
4.09,2026-05-13 14:24:13.608786
-5.61,2026-05-13 14:24:13.615025
-9.2,2026-05-13 14:24:13.625025
10.95,2026-05-13 14:24:13.636025
3.43,2026-05-13 14:24:13.647025
-15.42,2026-05-13 14:24:13.657025
-17.16,2026-05-13 14:24:13.668025
-11.28,2026-05-13 14:24:13.679025
-14.54,2026-05-13 14:24:13.690025
-3.87,2026-05-13 14:24:13.701025
-3.65,2026-05-13 14:24:13.711025
1.91,2026-05-13 14:24:13.722025
-3.65,2026-05-13 14:24:13.733025
-0.05,2026-05-13 14:24:13.744025
20.1,2026-05-13 14:24:13.754025
3.65,2026-05-13 14:24:13.765025
3.22,2026-05-13 14:24:13.776025
-2.23,2026-05-13 14:24:13.787025
-10.84,2026-05-13 14:24:13.797025
8.77,2026-05-13 14:24:13.808025
23.59,2026-05-13 14:24:13.819025
1.69,2026-05-13 14:24:13.835868
4.41,2026-05-13 14:24:13.845868
-11.82,2026-05-13 14:24:13.856868
-14.65,2026-05-13 14:24:13.867868
-14.65,2026-05-13 14:24:13.878868
-2.45,2026-05-13 14:24:13.888868
1.58,2026-05-13 14:24:13.899868
2.24,2026-05-13 14:24:13.910868
-14.22,2026-05-13 14:24:13.921868
-4.85,2026-05-13 14:24:13.931868
17.27,2026-05-13 14:24:13.942868
0.27,2026-05-13 14:24:13.953868
-5.94,2026-05-13 14:24:13.964868
-4.3,2026-05-13 14:24:13.975868
6.7,2026-05-13 14:24:13.985868
8.12,2026-05-13 14:24:13.996868
-4.52,2026-05-13 14:24:14.007868
-13.56,2026-05-13 14:24:14.018868
-11.82,2026-05-13 14:24:14.028868
-9.86,2026-05-13 14:24:14.039868
-4.96,2026-05-13 14:24:14.046799
2.45,2026-05-13 14:24:14.056799
2.78,2026-05-13 14:24:14.066799
1.8,2026-05-13 14:24:14.077799
3.33,2026-05-13 14:24:14.088799
7.68,2026-05-13 14:24:14.099799
9.43,2026-05-13 14:24:14.109799
8.88,2026-05-13 14:24:14.120799
-1.36,2026-05-13 14:24:14.131799
4.63,2026-05-13 14:24:14.142799
-2.34,2026-05-13 14:24:14.152799
-7.13,2026-05-13 14:24:14.163799
-1.47,2026-05-13 14:24:14.174799
-1.8,2026-05-13 14:24:14.185799
-11.28,2026-05-13 14:24:14.195799
-2.67,2026-05-13 14:24:14.206799
9.54,2026-05-13 14:24:14.217799
15.86,2026-05-13 14:24:14.228799
10.84,2026-05-13 14:24:14.238799
-10.95,2026-05-13 14:24:14.249799
-3.54,2026-05-13 14:24:14.267521
-14.33,2026-05-13 14:24:14.278521
-12.91,2026-05-13 14:24:14.289521
-4.96,2026-05-13 14:24:14.299521
-22.5,2026-05-13 14:24:14.310521
-21.19,2026-05-13 14:24:14.321521
-4.96,2026-05-13 14:24:14.332521
1.26,2026-05-13 14:24:14.342521
-10.29,2026-05-13 14:24:14.353521
-6.48,2026-05-13 14:24:14.364521
-2.23,2026-05-13 14:24:14.375521
-6.48,2026-05-13 14:24:14.385521
-8.77,2026-05-13 14:24:14.396521
0.6,2026-05-13 14:24:14.407521
1.26,2026-05-13 14:24:14.418521
-1.03,2026-05-13 14:24:14.428521
13.57,2026-05-13 14:24:14.439521
7.03,2026-05-13 14:24:14.450521
6.7,2026-05-13 14:24:14.461521
3.0,2026-05-13 14:24:14.471521
0.38,2026-05-13 14:24:14.477984
10.3,2026-05-13 14:24:14.486984
3.87,2026-05-13 14:24:14.497984
4.41,2026-05-13 14:24:14.507984
16.4,2026-05-13 14:24:14.518984
16.18,2026-05-13 14:24:14.529984
12.48,2026-05-13 14:24:14.540984
0.71,2026-05-13 14:24:14.551984
16.18,2026-05-13 14:24:14.561984
5.18,2026-05-13 14:24:14.572984
-1.69,2026-05-13 14:24:14.583984
-12.04,2026-05-13 14:24:14.594984
-5.5,2026-05-13 14:24:14.604984
-6.59,2026-05-13 14:24:14.615984
2.56,2026-05-13 14:24:14.626984
-3.97,2026-05-13 14:24:14.637984
-4.3,2026-05-13 14:24:14.647984
1.8,2026-05-13 14:24:14.658984
-15.74,2026-05-13 14:24:14.669984
-10.19,2026-05-13 14:24:14.680984
-9.1,2026-05-13 14:24:14.685794
-0.49,2026-05-13 14:24:14.696794
-1.58,2026-05-13 14:24:14.707794
5.4,2026-05-13 14:24:14.718794
-4.41,2026-05-13 14:24:14.728794
3.98,2026-05-13 14:24:14.739794
5.4,2026-05-13 14:24:14.750794
-0.92,2026-05-13 14:24:14.761794
0.6,2026-05-13 14:24:14.771794
5.07,2026-05-13 14:24:14.782794
-8.12,2026-05-13 14:24:14.793794
-7.9,2026-05-13 14:24:14.804794
11.17,2026-05-13 14:24:14.815794
5.83,2026-05-13 14:24:14.825794
15.42,2026-05-13 14:24:14.836794
-3.76,2026-05-13 14:24:14.847794
4.09,2026-05-13 14:24:14.858794
-4.08,2026-05-13 14:24:14.868794
-6.81,2026-05-13 14:24:14.879794
0.17,2026-05-13 14:24:14.890794
-10.4,2026-05-13 14:24:14.908224
-11.71,2026-05-13 14:24:14.918224
-4.08,2026-05-13 14:24:14.929224
-3.65,2026-05-13 14:24:14.940224
-7.35,2026-05-13 14:24:14.951224
3.65,2026-05-13 14:24:14.961224
-0.27,2026-05-13 14:24:14.972224
9.1,2026-05-13 14:24:14.983224
9.32,2026-05-13 14:24:14.994224
6.81,2026-05-13 14:24:15.004224
8.34,2026-05-13 14:24:15.015224
10.08,2026-05-13 14:24:15.026224
-1.69,2026-05-13 14:24:15.037224
-11.28,2026-05-13 14:24:15.047224
-0.82,2026-05-13 14:24:15.058224
-1.14,2026-05-13 14:24:15.069224
-11.38,2026-05-13 14:24:15.080224
-15.42,2026-05-13 14:24:15.090224
-8.22,2026-05-13 14:24:15.101224
-3.87,2026-05-13 14:24:15.112224
5.72,2026-05-13 14:24:15.117995
6.16,2026-05-13 14:24:15.128995
12.15,2026-05-13 14:24:15.138995
-5.39,2026-05-13 14:24:15.149995
-6.7,2026-05-13 14:24:15.160995
-5.61,2026-05-13 14:24:15.171995
-3.97,2026-05-13 14:24:15.181995
14.44,2026-05-13 14:24:15.192995
5.4,2026-05-13 14:24:15.203995
-0.6,2026-05-13 14:24:15.214995
