weight,timestamp
-4.85,2026-05-13 14:39:03.474657
-17.27,2026-05-13 14:39:03.485657
-22.06,2026-05-13 14:39:03.496657
-17.05,2026-05-13 14:39:03.507657
-10.52,2026-05-13 14:39:03.517657
-1.15,2026-05-13 14:39:03.528657
15.63,2026-05-13 14:39:03.539657
13.35,2026-05-13 14:39:03.550657
7.46,2026-05-13 14:39:03.560657
-0.27,2026-05-13 14:39:03.571657
3.43,2026-05-13 14:39:03.582657
0.05,2026-05-13 14:39:03.593657
3.0,2026-05-13 14:39:03.603657
7.57,2026-05-13 14:39:03.614657
2.34,2026-05-13 14:39:03.625657
-11.39,2026-05-13 14:39:03.636657
-4.96,2026-05-13 14:39:03.646657
16.07,2026-05-13 14:39:03.657657
-1.36,2026-05-13 14:39:03.668657
-15.31,2026-05-13 14:39:03.679657
-1.69,2026-05-13 14:39:03.685469
-4.3,2026-05-13 14:39:03.695469
6.16,2026-05-13 14:39:03.706469
2.12,2026-05-13 14:39:03.717469
9.31,2026-05-13 14:39:03.728469
16.51,2026-05-13 14:39:03.738469
20.54,2026-05-13 14:39:03.749469
6.05,2026-05-13 14:39:03.760469
-8.01,2026-05-13 14:39:03.771469
-2.23,2026-05-13 14:39:03.781469
-12.8,2026-05-13 14:39:03.792469
-4.3,2026-05-13 14:39:03.803469
0.82,2026-05-13 14:39:03.814469
13.24,2026-05-13 14:39:03.824469
9.75,2026-05-13 14:39:03.835469
-9.32,2026-05-13 14:39:03.846469
-22.5,2026-05-13 14:39:03.857469
-10.41,2026-05-13 14:39:03.867469
-5.72,2026-05-13 14:39:03.878469
-3.98,2026-05-13 14:39:03.889469
3.21,2026-05-13 14:39:03.906811
6.16,2026-05-13 14:39:03.916811
-10.84,2026-05-13 14:39:03.927811
-17.38,2026-05-13 14:39:03.938811
-1.69,2026-05-13 14:39:03.949811
0.93,2026-05-13 14:39:03.959811
4.08,2026-05-13 14:39:03.970811
-0.27,2026-05-13 14:39:03.981811
1.14,2026-05-13 14:39:03.992811
3.43,2026-05-13 14:39:04.002811
5.83,2026-05-13 14:39:04.013811
2.89,2026-05-13 14:39:04.024811
-2.78,2026-05-13 14:39:04.035811
-5.5,2026-05-13 14:39:04.046811
-6.59,2026-05-13 14:39:04.056811
-5.61,2026-05-13 14:39:04.067811
-4.3,2026-05-13 14:39:04.078811
0.93,2026-05-13 14:39:04.089811
-15.85,2026-05-13 14:39:04.099811
-22.39,2026-05-13 14:39:04.110811
-18.25,2026-05-13 14:39:04.119101
12.91,2026-05-13 14:39:04.128101
28.16,2026-05-13 14:39:04.138101
13.35,2026-05-13 14:39:04.149101
-22.28,2026-05-13 14:39:04.160101
-18.91,2026-05-13 14:39:04.171101
-19.99,2026-05-13 14:39:04.181101
1.25,2026-05-13 14:39:04.192101
5.28,2026-05-13 14:39:04.203101
-0.6,2026-05-13 14:39:04.214101
-4.85,2026-05-13 14:39:04.224101
-8.99,2026-05-13 14:39:04.235101
-11.82,2026-05-13 14:39:04.246101
-9.64,2026-05-13 14:39:04.257101
5.39,2026-05-13 14:39:04.267101
2.56,2026-05-13 14:39:04.278101
12.69,2026-05-13 14:39:04.289101
5.94,2026-05-13 14:39:04.300101
18.36,2026-05-13 14:39:04.310101
-1.69,2026-05-13 14:39:04.321101
-13.89,2026-05-13 14:39:04.326554
-30.13,2026-05-13 14:39:04.337554
-15.85,2026-05-13 14:39:04.347554
0.49,2026-05-13 14:39:04.358554
2.89,2026-05-13 14:39:04.369554
1.8,2026-05-13 14:39:04.380554
-6.16,2026-05-13 14:39:04.390554
-10.62,2026-05-13 14:39:04.401554
-7.68,2026-05-13 14:39:04.412554
-15.2,2026-05-13 14:39:04.423554
-19.56,2026-05-13 14:39:04.434554
-7.68,2026-05-13 14:39:04.444554
2.12,2026-05-13 14:39:04.455554
1.36,2026-05-13 14:39:04.466554
-11.82,2026-05-13 14:39:04.477554
-18.14,2026-05-13 14:39:04.487554
-6.05,2026-05-13 14:39:04.498554
-5.83,2026-05-13 14:39:04.509554
5.5,2026-05-13 14:39:04.520554
-3.22,2026-05-13 14:39:04.530554
-3.65,2026-05-13 14:39:04.547929
-5.07,2026-05-13 14:39:04.558929
-5.94,2026-05-13 14:39:04.569929
-25.55,2026-05-13 14:39:04.579929
-9.43,2026-05-13 14:39:04.590929
-10.19,2026-05-13 14:39:04.601929
-14.33,2026-05-13 14:39:04.612929
-13.13,2026-05-13 14:39:04.622929
7.24,2026-05-13 14:39:04.633929
0.16,2026-05-13 14:39:04.644929
-20.21,2026-05-13 14:39:04.655929
-11.82,2026-05-13 14:39:04.665929
-11.93,2026-05-13 14:39:04.676929
-13.78,2026-05-13 14:39:04.687929
-13.35,2026-05-13 14:39:04.698929
19.45,2026-05-13 14:39:04.708929
17.81,2026-05-13 14:39:04.719929
6.37,2026-05-13 14:39:04.730929
-11.28,2026-05-13 14:39:04.741929
-3.22,2026-05-13 14:39:04.751929
-0.49,2026-05-13 14:39:04.756652
-0.38,2026-05-13 14:39:04.767652
-4.74,2026-05-13 14:39:04.778652
-0.49,2026-05-13 14:39:04.789652
5.5,2026-05-13 14:39:04.799652
4.3,2026-05-13 14:39:04.810652
-2.23,2026-05-13 14:39:04.821652
7.57,2026-05-13 14:39:04.832652
1.8,2026-05-13 14:39:04.842652
-9.1,2026-05-13 14:39:04.853652
-8.45,2026-05-13 14:39:04.864652
-5.5,2026-05-13 14:39:04.875652
9.21,2026-05-13 14:39:04.885652
2.45,2026-05-13 14:39:04.896652
-5.39,2026-05-13 14:39:04.907652
-11.61,2026-05-13 14:39:04.918652
-10.52,2026-05-13 14:39:04.928652
3.76,2026-05-13 14:39:04.939652
-1.47,2026-05-13 14:39:04.950652
-17.82,2026-05-13 14:39:04.961652
-14.55,2026-05-13 14:39:04.978103
-4.74,2026-05-13 14:39:04.989103
-13.57,2026-05-13 14:39:05.000103
-14.87,2026-05-13 14:39:05.011103
-17.05,2026-05-13 14:39:05.021103
3.43,2026-05-13 14:39:05.032103
-8.01,2026-05-13 14:39:05.043103
-14.22,2026-05-13 14:39:05.054103
0.27,2026-05-13 14:39:05.064103
2.78,2026-05-13 14:39:05.075103
6.7,2026-05-13 14:39:05.086103
-4.2,2026-05-13 14:39:05.097103
-0.27,2026-05-13 14:39:05.107103
-8.99,2026-05-13 14:39:05.118103
5.28,2026-05-13 14:39:05.129103
-11.93,2026-05-13 14:39:05.140103
-8.55,2026-05-13 14:39:05.150103
1.91,2026-05-13 14:39:05.161103
-6.59,2026-05-13 14:39:05.172103
-14.98,2026-05-13 14:39:05.183103
-29.26,2026-05-13 14:39:05.188898
-30.78,2026-05-13 14:39:05.198898
-8.77,2026-05-13 14:39:05.209898
19.56,2026-05-13 14:39:05.220898
10.4,2026-05-13 14:39:05.231898
5.39,2026-05-13 14:39:05.241898
-8.34,2026-05-13 14:39:05.252898
-12.26,2026-05-13 14:39:05.263898
-29.15,2026-05-13 14:39:05.274898
-13.78,2026-05-13 14:39:05.284898
-10.84,2026-05-13 14:39:05.295898
9.1,2026-05-13 14:39:05.306898
11.06,2026-05-13 14:39:05.317898
-6.38,2026-05-13 14:39:05.327898
-6.48,2026-05-13 14:39:05.338898
-3.87,2026-05-13 14:39:05.349898
