weight,timestamp
-13.13,2026-05-13 14:40:25.108011
-26.2,2026-05-13 14:40:25.119011
-10.08,2026-05-13 14:40:25.130011
-20.86,2026-05-13 14:40:25.141011
-15.63,2026-05-13 14:40:25.151011
7.25,2026-05-13 14:40:25.162011
4.41,2026-05-13 14:40:25.173011
14.55,2026-05-13 14:40:25.184011
-0.71,2026-05-13 14:40:25.194011
-33.61,2026-05-13 14:40:25.205011
-18.79,2026-05-13 14:40:25.216011
-6.05,2026-05-13 14:40:25.227011
-1.58,2026-05-13 14:40:25.237011
-6.15,2026-05-13 14:40:25.248011
-12.36,2026-05-13 14:40:25.259011
-2.78,2026-05-13 14:40:25.270011
8.66,2026-05-13 14:40:25.280011
4.85,2026-05-13 14:40:25.291011
9.32,2026-05-13 14:40:25.302011
11.17,2026-05-13 14:40:25.313011
0.06,2026-05-13 14:40:25.318586
8.34,2026-05-13 14:40:25.328586
15.2,2026-05-13 14:40:25.339586
16.84,2026-05-13 14:40:25.350586
4.96,2026-05-13 14:40:25.360586
-6.81,2026-05-13 14:40:25.371586
-1.14,2026-05-13 14:40:25.382586
6.92,2026-05-13 14:40:25.393586
0.93,2026-05-13 14:40:25.403586
-4.19,2026-05-13 14:40:25.414586
-2.89,2026-05-13 14:40:25.425586
-2.89,2026-05-13 14:40:25.436586
7.79,2026-05-13 14:40:25.446586
-3.1,2026-05-13 14:40:25.457586
-0.27,2026-05-13 14:40:25.468586
10.08,2026-05-13 14:40:25.479586
-3.54,2026-05-13 14:40:25.489586
-2.99,2026-05-13 14:40:25.500586
4.74,2026-05-13 14:40:25.511586
-1.36,2026-05-13 14:40:25.522586
3.54,2026-05-13 14:40:25.540289
5.61,2026-05-13 14:40:25.550289
1.69,2026-05-13 14:40:25.561289
4.74,2026-05-13 14:40:25.572289
-5.94,2026-05-13 14:40:25.583289
-1.9,2026-05-13 14:40:25.593289
-4.19,2026-05-13 14:40:25.604289
13.35,2026-05-13 14:40:25.615289
30.78,2026-05-13 14:40:25.626289
17.49,2026-05-13 14:40:25.636289
-12.47,2026-05-13 14:40:25.647289
-3.54,2026-05-13 14:40:25.658289
11.06,2026-05-13 14:40:25.669289
14.77,2026-05-13 14:40:25.679289
5.07,2026-05-13 14:40:25.690289
-19.01,2026-05-13 14:40:25.701289
-11.17,2026-05-13 14:40:25.712289
-16.72,2026-05-13 14:40:25.722289
-18.68,2026-05-13 14:40:25.733289
1.8,2026-05-13 14:40:25.744289
25.23,2026-05-13 14:40:25.752305
11.61,2026-05-13 14:40:25.760305
14.44,2026-05-13 14:40:25.771305
13.13,2026-05-13 14:40:25.782305
-1.25,2026-05-13 14:40:25.793305
12.48,2026-05-13 14:40:25.803305
11.61,2026-05-13 14:40:25.814305
11.39,2026-05-13 14:40:25.825305
2.02,2026-05-13 14:40:25.836305
8.99,2026-05-13 14:40:25.846305
12.7,2026-05-13 14:40:25.857305
20.54,2026-05-13 14:40:25.868305
8.56,2026-05-13 14:40:25.879305
1.36,2026-05-13 14:40:25.890305
2.78,2026-05-13 14:40:25.900305
-6.05,2026-05-13 14:40:25.911305
1.36,2026-05-13 14:40:25.922305
5.94,2026-05-13 14:40:25.933305
-6.05,2026-05-13 14:40:25.943305
-6.15,2026-05-13 14:40:25.954305
-12.58,2026-05-13 14:40:25.960125
-17.7,2026-05-13 14:40:25.971125
3.33,2026-05-13 14:40:25.981125
-1.47,2026-05-13 14:40:25.992125
2.24,2026-05-13 14:40:26.003125
-3.98,2026-05-13 14:40:26.014125
4.09,2026-05-13 14:40:26.024125
17.05,2026-05-13 14:40:26.035125
7.03,2026-05-13 14:40:26.046125
-14.22,2026-05-13 14:40:26.057125
-11.06,2026-05-13 14:40:26.067125
-1.25,2026-05-13 14:40:26.078125
5.72,2026-05-13 14:40:26.089125
7.79,2026-05-13 14:40:26.100125
5.4,2026-05-13 14:40:26.110125
-0.27,2026-05-13 14:40:26.121125
-16.51,2026-05-13 14:40:26.132125
0.49,2026-05-13 14:40:26.143125
7.03,2026-05-13 14:40:26.153125
-8.44,2026-05-13 14:40:26.164125
3.33,2026-05-13 14:40:26.181742
15.96,2026-05-13 14:40:26.192742
13.57,2026-05-13 14:40:26.202742
-3.65,2026-05-13 14:40:26.213742
6.59,2026-05-13 14:40:26.224742
6.27,2026-05-13 14:40:26.235742
14.66,2026-05-13 14:40:26.245742
