weight,timestamp
2.45,2026-05-13 14:45:12.751913
5.39,2026-05-13 14:45:12.762913
13.89,2026-05-13 14:45:12.773913
-1.47,2026-05-13 14:45:12.784913
-13.89,2026-05-13 14:45:12.794913
-16.51,2026-05-13 14:45:12.805913
-10.63,2026-05-13 14:45:12.816913
2.34,2026-05-13 14:45:12.827913
7.24,2026-05-13 14:45:12.837913
22.17,2026-05-13 14:45:12.848913
19.77,2026-05-13 14:45:12.859913
7.03,2026-05-13 14:45:12.870913
-3.43,2026-05-13 14:45:12.880913
-15.53,2026-05-13 14:45:12.891913
-3.87,2026-05-13 14:45:12.902913
1.14,2026-05-13 14:45:12.913913
-12.15,2026-05-13 14:45:12.923913
-3.76,2026-05-13 14:45:12.934913
7.68,2026-05-13 14:45:12.945913
2.78,2026-05-13 14:45:12.956913
-15.2,2026-05-13 14:45:12.973312
-1.25,2026-05-13 14:45:12.984312
3.21,2026-05-13 14:45:12.995312
2.12,2026-05-13 14:45:13.006312
3.98,2026-05-13 14:45:13.016312
6.7,2026-05-13 14:45:13.027312
11.93,2026-05-13 14:45:13.038312
-4.09,2026-05-13 14:45:13.049312
1.03,2026-05-13 14:45:13.059312
-8.66,2026-05-13 14:45:13.070312
-14.0,2026-05-13 14:45:13.081312
-12.15,2026-05-13 14:45:13.092312
-2.02,2026-05-13 14:45:13.102312
6.37,2026-05-13 14:45:13.113312
1.69,2026-05-13 14:45:13.124312
-5.18,2026-05-13 14:45:13.135312
-10.19,2026-05-13 14:45:13.145312
-8.88,2026-05-13 14:45:13.156312
-5.4,2026-05-13 14:45:13.167312
-10.63,2026-05-13 14:45:13.178312
-2.02,2026-05-13 14:45:13.183410
0.49,2026-05-13 14:45:13.194410
-1.04,2026-05-13 14:45:13.205410
11.82,2026-05-13 14:45:13.216410
2.78,2026-05-13 14:45:13.226410
-12.04,2026-05-13 14:45:13.237410
-7.57,2026-05-13 14:45:13.248410
-6.05,2026-05-13 14:45:13.259410
-2.78,2026-05-13 14:45:13.269410
6.37,2026-05-13 14:45:13.280410
-16.29,2026-05-13 14:45:13.291410
-17.93,2026-05-13 14:45:13.302410
-2.24,2026-05-13 14:45:13.312410
-1.15,2026-05-13 14:45:13.323410
16.07,2026-05-13 14:45:13.334410
15.74,2026-05-13 14:45:13.345410
8.55,2026-05-13 14:45:13.355410
-0.71,2026-05-13 14:45:13.366410
-0.93,2026-05-13 14:45:13.377410
-0.82,2026-05-13 14:45:13.388410
6.37,2026-05-13 14:45:13.404679
-1.91,2026-05-13 14:45:13.415679
3.1,2026-05-13 14:45:13.426679
-3.54,2026-05-13 14:45:13.437679
-14.66,2026-05-13 14:45:13.447679
-11.06,2026-05-13 14:45:13.458679
-13.68,2026-05-13 14:45:13.469679
-1.91,2026-05-13 14:45:13.480679
10.29,2026-05-13 14:45:13.490679
24.13,2026-05-13 14:45:13.501679
15.63,2026-05-13 14:45:13.512679
4.19,2026-05-13 14:45:13.523679
-3.43,2026-05-13 14:45:13.533679
-1.25,2026-05-13 14:45:13.544679
-3.98,2026-05-13 14:45:13.555679
11.06,2026-05-13 14:45:13.566679
-4.85,2026-05-13 14:45:13.576679
-23.59,2026-05-13 14:45:13.587679
-13.24,2026-05-13 14:45:13.598679
2.78,2026-05-13 14:45:13.609679
-0.93,2026-05-13 14:45:13.615546
0.38,2026-05-13 14:45:13.626546
7.68,2026-05-13 14:45:13.637546
16.18,2026-05-13 14:45:13.648546
1.9,2026-05-13 14:45:13.658546
1.69,2026-05-13 14:45:13.669546
11.28,2026-05-13 14:45:13.680546
3.43,2026-05-13 14:45:13.691546
-2.02,2026-05-13 14:45:13.701546
1.8,2026-05-13 14:45:13.712546
9.42,2026-05-13 14:45:13.723546
15.09,2026-05-13 14:45:13.734546
1.36,2026-05-13 14:45:13.745546
6.05,2026-05-13 14:45:13.755546
9.1,2026-05-13 14:45:13.766546
-7.25,2026-05-13 14:45:13.777546
-6.38,2026-05-13 14:45:13.788546
4.74,2026-05-13 14:45:13.798546
17.27,2026-05-13 14:45:13.809546
14.11,2026-05-13 14:45:13.820546
10.08,2026-05-13 14:45:13.837072
-3.43,2026-05-13 14:45:13.847072
-13.57,2026-05-13 14:45:13.858072
6.7,2026-05-13 14:45:13.869072
6.92,2026-05-13 14:45:13.880072
-4.74,2026-05-13 14:45:13.890072
-3.22,2026-05-13 14:45:13.901072
-15.64,2026-05-13 14:45:13.912072
-11.93,2026-05-13 14:45:13.923072
-19.45,2026-05-13 14:45:13.933072
-11.28,2026-05-13 14:45:13.944072
-7.9,2026-05-13 14:45:13.955072
-3.98,2026-05-13 14:45:13.966072
0.27,2026-05-13 14:45:13.976072
0.05,2026-05-13 14:45:13.987072
-0.06,2026-05-13 14:45:13.998072
4.19,2026-05-13 14:45:14.009072
-9.75,2026-05-13 14:45:14.019072
-8.88,2026-05-13 14:45:14.030072
-11.39,2026-05-13 14:45:14.041072
-12.15,2026-05-13 14:45:14.047782
-4.2,2026-05-13 14:45:14.056782
-4.74,2026-05-13 14:45:14.067782
7.03,2026-05-13 14:45:14.078782
17.05,2026-05-13 14:45:14.089782
12.58,2026-05-13 14:45:14.099782
2.89,2026-05-13 14:45:14.110782
-3.65,2026-05-13 14:45:14.121782
-0.17,2026-05-13 14:45:14.132782
4.19,2026-05-13 14:45:14.142782
6.15,2026-05-13 14:45:14.153782
3.65,2026-05-13 14:45:14.164782
7.68,2026-05-13 14:45:14.175782
-4.74,2026-05-13 14:45:14.185782
-4.31,2026-05-13 14:45:14.196782
7.79,2026-05-13 14:45:14.207782
17.59,2026-05-13 14:45:14.218782
-6.05,2026-05-13 14:45:14.228782
-2.02,2026-05-13 14:45:14.239782
-5.72,2026-05-13 14:45:14.250782
-15.31,2026-05-13 14:45:14.256758
12.47,2026-05-13 14:45:14.266758
16.83,2026-05-13 14:45:14.277758
-6.59,2026-05-13 14:45:14.288758
-8.01,2026-05-13 14:45:14.299758
-8.66,2026-05-13 14:45:14.309758
-7.47,2026-05-13 14:45:14.320758
-12.26,2026-05-13 14:45:14.331758
-4.63,2026-05-13 14:45:14.342758
6.92,2026-05-13 14:45:14.352758
6.05,2026-05-13 14:45:14.363758
-0.6,2026-05-13 14:45:14.374758
-0.93,2026-05-13 14:45:14.385758
7.9,2026-05-13 14:45:14.395758
-7.57,2026-05-13 14:45:14.406758
-2.45,2026-05-13 14:45:14.417758
7.57,2026-05-13 14:45:14.428758
-3.87,2026-05-13 14:45:14.438758
-9.21,2026-05-13 14:45:14.449758
-6.92,2026-05-13 14:45:14.460758
2.45,2026-05-13 14:45:14.477784
9.86,2026-05-13 14:45:14.487784
13.02,2026-05-13 14:45:14.498784
-15.09,2026-05-13 14:45:14.509784
-30.46,2026-05-13 14:45:14.520784
-13.46,2026-05-13 14:45:14.530784
0.6,2026-05-13 14:45:14.541784
-5.61,2026-05-13 14:45:14.552784
-1.36,2026-05-13 14:45:14.563784
1.47,2026-05-13 14:45:14.573784
8.99,2026-05-13 14:45:14.584784
5.28,2026-05-13 14:45:14.595784
-5.4,2026-05-13 14:45:14.606784
5.06,2026-05-13 14:45:14.616784
-1.47,2026-05-13 14:45:14.627784
-7.36,2026-05-13 14:45:14.638784
-7.9,2026-05-13 14:45:14.649784
-9.43,2026-05-13 14:45:14.659784
2.01,2026-05-13 14:45:14.670784
1.69,2026-05-13 14:45:14.681784
4.19,2026-05-13 14:45:14.687526
-4.63,2026-05-13 14:45:14.697526
-20.0,2026-05-13 14:45:14.708526
-22.94,2026-05-13 14:45:14.719526
